_id,Record ID,City,State,Zip Code,Community,Date Collected,Mosquito Species,Count
1,DEH2016-CVLAB-003207,Vista,CA,92083,Vista,2016-07-31T00:00:00,Culex quinquefasciatus - Southern House Mosquito,4
2,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-03-17T00:00:00,Culex tarsalis - Western Encephalitis Mosquito,15
3,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-03-17T00:00:00,Culex quinquefasciatus - Southern House Mosquito,3
4,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-03-17T00:00:00,Anopheles hermsi - Southern California Malaria Mosquito,1
5,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-03-17T00:00:00,Aedes squamiger - California Salt Marsh Mosquito,14
6,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-03-17T00:00:00,Aedes washinoi - No common name,1
7,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-03-17T00:00:00,Culiseta inornata - Winter Mosquito,2
8,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-03-17T00:00:00,Culiseta incidens - Cool Weather Mosquito,1
9,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-03-17T00:00:00,Culiseta particeps - No common name,2
10,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-02T00:00:00,Culex tarsalis - Western Encephalitis Mosquito,1
11,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-02T00:00:00,Culex quinquefasciatus - Southern House Mosquito,2
12,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-02T00:00:00,Culex erythrothorax - Tule Mosquito,8
13,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-02T00:00:00,Anopheles hermsi - Southern California Malaria Mosquito,1
14,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-02T00:00:00,Aedes squamiger - California Salt Marsh Mosquito,9
15,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-02T00:00:00,Aedes washinoi - No common name,2
16,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-02T00:00:00,Culiseta inornata - Winter Mosquito,1
17,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-02T00:00:00,Culiseta particeps - No common name,10
18,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-17T00:00:00,Aedes squamiger - California Salt Marsh Mosquito,2
19,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-17T00:00:00,Culex tarsalis - Western Encephalitis Mosquito,1
20,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-17T00:00:00,Culex erythrothorax - Tule Mosquito,4
21,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-30T00:00:00,Culex erythrothorax - Tule Mosquito,10
22,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-30T00:00:00,Culiseta particeps - No common name,9
23,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-04-30T00:00:00,Culex tarsalis - Western Encephalitis Mosquito,3
24,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-05-13T00:00:00,Culex erythrothorax - Tule Mosquito,8
25,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-05-13T00:00:00,Culiseta particeps - No common name,3
26,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-05-27T00:00:00,Culex erythrothorax - Tule Mosquito,13
27,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-06-12T00:00:00,Culex erythrothorax - Tule Mosquito,21
28,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-06-12T00:00:00,Culex tarsalis - Western Encephalitis Mosquito,7
29,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-06-24T00:00:00,Culex erythrothorax - Tule Mosquito,38
30,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-07-09T00:00:00,No Captures,0
31,DEH2014-CVLAB-000002,Carlsbad,CA,92008,Carlsbad,2015-07-22T00:00:00,Culex erythrothorax - Tule Mosquito,15
